Q #,Scenario,,Question,,,Options,,,,,Correct Answer,,,,,,,,,,,Rationale,,,,,HIPAA Section,Workforce Group,,HIPAA Rule,,,,,,,HIPAA Topic Name,,,,,,,,,Description of Topic (OCR Audited Focus),,,,,
11,"Scenario: Patient Rights: Access and Denial: Mr. Brown submits a written request for a complete copy of his medical and billing records (the Designated Record Set, or DRS). He asks for the records to be sent to him as an encrypted PDF via email.",,Which of the following information sets about Mr. Brown is explicitly included in the definition of a Designated Record Set (DRS) and is thus subject to the Right of Access?,,,A. DRS includes only medical records.B. DRS includes medical records and billing records.C. DRS includes only records used to make decisions about the individual.D. DRS excludes information maintained by a health plan.,,,,,B. DRS includes medical records and billing records.,,,,,,,,,,,The DRS includes medical records and billing records about individuals maintained by or for a covered health care provider.,,,,,§ 164.501,"Admin and Billing Staff, Clinical Staff",,Privacy Rule,,,,,,,Right of access to PHI,,,,,,,,,"Individual right to inspect and obtain copies (including electronic), timeliness, form/format, transmission to third parties, and fees.",,,,,
12,"Scenario: Patient Rights: Access and Denial: Mr. Brown submits a written request for a complete copy of his medical and billing records (the Designated Record Set, or DRS). He asks for the records to be sent to him as an encrypted PDF via email.",,"Assuming no reviewable grounds for denial exist, the organization must act on Mr. Brown’s request to obtain his records no later than how many days after receiving the request?",,,A. 15 calendar days.B. 30 calendar days.C. 60 calendar days.D. 90 calendar days.,,,,,B. 30 calendar days.,,,,,,,,,,,The covered entity must act on a request for access no later than 30 days after receipt of the request.,,,,,§ 164.524 (b)(2)(i),"Admin and Billing Staff, Clinical Staff, All Staff",,Privacy Rule,,,,,,,Right of access to PHI,,,,,,,,,"Individual right to inspect and obtain copies (including electronic), timeliness, form/format, transmission to third parties, and fees.",,,,,
13,"Scenario: Patient Rights: Access and Denial: Mr. Brown submits a written request for a complete copy of his medical and billing records (the Designated Record Set, or DRS). He asks for the records to be sent to him as an encrypted PDF via email.",,"If the organization needs more time to process Mr. Brown’s request, it may extend the time period by up to an additional 30 days, provided it takes which required action?",,,A. Provide him a written statement of reasons for the delay before the original 30-day limit expires.B. Obtain his oral agreement for the delay.C. Obtain approval from HHS for the extension.D. Waive all fees associated with the record copying.,,,,,A. Provide him a written statement of reasons for the delay before the original 30-day limit expires.,,,,,,,,,,,"An entity may extend the time by no more than 30 days, provided that it informs the individual in writing of the reasons for the delay and completion date.",,,,,§ 164.524 (b)(2)(ii),"Admin and Billing Staff, Clinical Staff",,Privacy Rule,,,,,,,Right of access to PHI,,,,,,,,,"Individual right to inspect and obtain copies (including electronic), timeliness, form/format, transmission to third parties, and fees.",,,,,
14,"Scenario: Patient Rights: Access and Denial: Mr. Brown submits a written request for a complete copy of his medical and billing records (the Designated Record Set, or DRS). He asks for the records to be sent to him as an encrypted PDF via email.",,"Since Mr. Brown requested an electronic copy of his electronically maintained records, the organization must provide the PHI in that requested electronic form/format unless:",,,A. The individual agrees to pay a higher fee.B. The organization chooses to provide a summary instead.C. The organization determines the requested electronic format is not readily producible.D. The disclosure is made to a health plan.,,,,,C. The organization determines the requested electronic format is not readily producible.,,,,,,,,,,,"If the PHI is maintained electronically and the individual requests an electronic copy, the CE must provide it in the requested form and format if readily producible.",,,,,§ 164.524 (c)(2)(ii),"Admin and Billing Staff, Clinical Staff",,Privacy Rule,,,,,,,Right of access to PHI,,,,,,,,,"Individual right to inspect and obtain copies (including electronic), timeliness, form/format, transmission to third parties, and fees.",,,,,
15,"Scenario: Patient Rights: Access and Denial: Mr. Brown submits a written request for a complete copy of his medical and billing records (the Designated Record Set, or DRS). He asks for the records to be sent to him as an encrypted PDF via email.",,"If the organization does not maintain Mr. Brown’s requested PHI but knows where the information is held, the organization must fulfill which responsibility?",,,A. Immediately forward the request to the correct entity.B. Inform the individual where to direct the request for access.C. Provide him a denial based on unreviewable grounds.D. Wait for Mr. Brown to renew his request after 60 days.,,,,,B. Inform the individual where to direct the request for access.,,,,,,,,,,,"If the covered entity does not maintain the PHI and knows where it is maintained, the covered entity must inform the individual where to direct the request.",,,,,§ 164.524 (d)(3),"Admin and Billing Staff, Clinical Staff",,Privacy Rule,,,,,,,Right of access to PHI,,,,,,,,,"Individual right to inspect and obtain copies (including electronic), timeliness, form/format, transmission to third parties, and fees.",,,,,
16,Scenario: Disposal and Workstation Security: Billing specialist Tom prints a large stack of Explanation of Benefits (EOB) documents containing PHI. He leaves the printouts unsecured on his desk overnight and forgets to shred obsolete billing reports.,,Tom leaving printed PHI unsecured on his desk overnight primarily violates the requirement to implement:,,,A. Facility Access Controls.B. Minimum necessary policies.C. Physical Safeguards.D. Technical Safeguards.,,,,,C. Physical Safeguards.,,,,,,,,,,,The organization must implement physical measures (Physical Safeguards) to protect electronic information systems and related buildings.,,,,,"§ 164.304, § 164.530(c)","Admin and Billing Staff, All Staff",,Security Rule,,,,,,,Privacy safeguards,,,,,,,,,"Administrative, technical, and physical safeguards to protect PHI and limit incidental uses/disclosures.",,,,,
17,Scenario: Disposal and Workstation Security: Billing specialist Tom prints a large stack of Explanation of Benefits (EOB) documents containing PHI. He leaves the printouts unsecured on his desk overnight and forgets to shred obsolete billing reports.,,"If Tom had stored the PHI on a flash drive, and the organization decides to reuse the drive for non-PHI operational data, the required procedure is:",,,A. Encrypting the PHI before reuse.B. Removing the ePHI from the media before reuse.C. Logging the reuse in the Security Incident Log.D. Performing a risk analysis on the drive before reuse.,,,,,B. Removing the ePHI from the media before reuse.,,,,,,,,,,,The Media Re-use specification requires implementing procedures for the removal of ePHI from electronic media before the media are made available for re-use.,,,,,§ 164.310 (d)(2)(ii),"Admin and Billing Staff, IT, All Staff",,Security Rule,,,,,,,Device and media controls,,,,,,,,,"Receipt, movement, reuse, backup, and disposal of hardware and electronic media containing ePHI.",,,,,
18,Scenario: Disposal and Workstation Security: Billing specialist Tom prints a large stack of Explanation of Benefits (EOB) documents containing PHI. He leaves the printouts unsecured on his desk overnight and forgets to shred obsolete billing reports.,,The policies governing the final destruction of electronic media or hardware containing PHI must comply with which required implementation specification under the Physical Safeguards?,,,A. Accountability.B. Maintenance Records.C. Media Re-use.D. Disposal.,,,,,D. Disposal.,,,,,,,,,,,The Disposal specification is a required safeguard mandating policies for the final disposition of ePHI and the hardware/electronic media it occupies.,,,,,§ 164.310 (d)(2)(i),"Admin and Billing Staff, IT",,Security Rule,,,,,,,Device and media controls,,,,,,,,,"Receipt, movement, reuse, backup, and disposal of hardware and electronic media containing ePHI.",,,,,
19,Scenario: Disposal and Workstation Security: Billing specialist Tom prints a large stack of Explanation of Benefits (EOB) documents containing PHI. He leaves the printouts unsecured on his desk overnight and forgets to shred obsolete billing reports.,,"If Tom uses a laptop (Workstation) to input data and the organization implements physical safeguards for that device, the primary objective of these safeguards is to:",,,A. Encrypt the data at rest.B. Restrict access to authorized users.C. Automate audit log review.D. Ensure the workforce uses unique IDs.,,,,,B. Restrict access to authorized users.,,,,,,,,,,,"Workstation Security requires implementing physical safeguards for all workstations that access ePHI, to restrict access to authorized users.",,,,,§ 164.310 (c),"Admin and Billing Staff, IT, Clinical",,Security Rule,,,,,,,Workstation security,,,,,,,,,Physical safeguards for workstations to restrict access to authorized users.,,,,,
20,Scenario: Disposal and Workstation Security: Billing specialist Tom prints a large stack of Explanation of Benefits (EOB) documents containing PHI. He leaves the printouts unsecured on his desk overnight and forgets to shred obsolete billing reports.,,The policies and procedures that define the proper functions Tom is permitted to perform on his workstation are required under which specific standard?,,,A. Workstation Security.B. Workstation Use.C. Device and Media Controls.D. Facility Access Controls.,,,,,B. Workstation Use.,,,,,,,,,,,Workstation Use requires implementing policies that specify proper functions to be performed and physical attributes of workstation surroundings.,,,,,§ 164.310 (b),"Admin and Billing Staff, IT, All Staff",,Security Rule,,,,,,,Workstation use,,,,,,,,,"Rules for appropriate functions, manner of use, and physical attributes of workstations accessing ePHI.",,,,,
21,Scenario: Electronic Standards and Identifiers: The Accounts Receivable department attempts to submit a batch of electronic claims to a health plan.,,The required standard unique identifier used to identify the organization (as a healthcare provider) in the electronic claim transaction is the:,,,A. Social Security Number (SSN).B. Health Plan Identifier (HPID).C. National Provider Identifier (NPI).D. Employer Identification Number (EIN).,,,,,C. National Provider Identifier (NPI).,,,,,,,,,,,"The standard unique health identifier for health care providers is the NPI, which must be used on all standard transactions requiring a provider ID.",,,,,§ 162.406 (a),Admin and Billing Staff,,Administrative Requirement,,,,,,,Standard Unique Health Identifier for Health Care Providers,,,,,,,,,Compliance dates and standards for implementing the NPI for providers.,,,,,
22,Scenario: Electronic Standards and Identifiers: The Accounts Receivable department attempts to submit a batch of electronic claims to a health plan.,,"If the claim also involves the transmission of info regarding the plan sponsor (employer) responsible for the health plan, the standard unique identifier for the employer is the:",,,A. National Provider Identifier (NPI).B. Employer Identification Number (EIN).C. Social Security Number (SSN).D. Health Plan Identifier (HPID).,,,,,B. Employer Identification Number (EIN).,,,,,,,,,,,"The Employer Identification Number (EIN), assigned by the IRS, is the standard unique employer identifier for standard transactions.",,,,,§ 162.605,Admin and Billing Staff,,Administrative Requirement,,,,,,,Standard Unique Employer Identifier,,,,,,,,,Standards and compliance for implementing the EIN as the employer identifier.,,,,,
23,Scenario: Electronic Standards and Identifiers: The Accounts Receivable department attempts to submit a batch of electronic claims to a health plan.,,"When an organization sends an electronic health care claim to a health plan following federal data standards, what is the required format for this exchange?",,,A. Standard format.B. A nonstandard format.C. Direct data entry.D. A trading partner agreement format.,,,,,A. Standard format.,,,,,,,,,,,"If a covered entity uses electronic media to communicate with another entity required to follow these rules, they must conduct the activity as a standard exchange.",,,,,§ 162.923 (a),Admin and Billing Staff,,Administrative Requirement,,,,,,,General Provisions for Transactions,,,,,,,,,Requirements for covered entities to conduct transactions in standard format.,,,,,
24,Scenario: Electronic Standards and Identifiers: The Accounts Receivable department attempts to submit a batch of electronic claims to a health plan.,,"A health plan generally may not reject a standard transaction (e.g., the claim submission) solely because it contains:",,,A. PHI that exceeds the minimum necessary amount.B. Invalid medical code sets.C. Data elements not needed or used by the health plan.D. An improper NPI.,,,,,C. Data elements not needed or used by the health plan.,,,,,,,,,,,A health plan may not delay or reject a standard transaction on the basis that it contains data elements not needed or used by the health plan.,,,,,§ 162.925 (a)(3),Admin and Billing Staff,,Administrative Requirement,,,,,,,General Provisions for Transactions,,,,,,,,,Additional requirements for health plans regarding standard transaction rejection.,,,,,
25,Scenario: Electronic Standards and Identifiers: The Accounts Receivable department attempts to submit a batch of electronic claims to a health plan.,,"If the claim submission process requires the use of medical data code sets (e.g., ICD:10), the organization must use codes that are valid at the time the:",,,A. Claim is paid.B. Health care is furnished.C. Transaction is initiated.D. Authorization is approved.,,,,,B. Health care is furnished.,,,,,,,,,,,"When conducting a covered transaction, a covered entity must use medical data code sets that are valid at the time the health care is furnished.",,,,,§ 162.1000 (a),Admin and Billing Staff,,Administrative Requirement,,,,,,,Code Sets,,,,,,,,,General requirements for the use of valid medical data code sets.,,,,,
26,Scenario: Data Record Set (DRS) Components and Penalty Factors: A request is received for PHI contained in the Designated Record Set (DRS). The Privacy Official is auditing the effectiveness of the minimum necessary policy for billing.,,"In the context of a health care provider, the Designated Record Set (DRS) specifically includes which component?",,,A. Psychotherapy notes.B. Billing records.C. Info compiled solely for use in a lawsuit.D. Employment records held by the provider in its role as employer.,,,,,B. Billing records.,,,,,,,,,,,The DRS includes medical records and billing records about individuals maintained by or for a covered health care provider.,,,,,§ 164.501,"Admin and Billing Staff, All Staff",,Privacy Rule,,,,,,,Right of access to PHI,,,,,,,,,"Individual right to inspect and obtain copies (including electronic), timeliness, form/format, transmission to third parties, and fees.",,,,,
27,Scenario: Data Record Set (DRS) Components and Penalty Factors: A request is received for PHI contained in the Designated Record Set (DRS). The Privacy Official is auditing the effectiveness of the minimum necessary policy for billing.,,Which uses or disclosures of PHI are NOT subject to the Minimum Necessary rule?,,,A. Uses for payment activities.B. Uses disclosed to the individual.C. Disclosures for health care operations.D. Disclosures to consumer reporting agencies.,,,,,B. Uses disclosed to the individual.,,,,,,,,,,,"The Minimum Necessary requirement does not apply to uses or disclosures made to the individual, as permitted under § 164.502(a)(1)(i).",,,,,§ 164.502 (b)(2)(ii),"Admin and Billing Staff, All Staff, Clinical",,Privacy Rule,,,,,,,Minimum necessary: uses,,,,,,,,,Requirement to limit workforce uses of PHI to the minimum necessary and to define rolebased access.,,,,,
28,Scenario: Data Record Set (DRS) Components and Penalty Factors: A request is received for PHI contained in the Designated Record Set (DRS). The Privacy Official is auditing the effectiveness of the minimum necessary policy for billing.,,"For disclosures made on a routine and recurring basis (such as standard claims submissions), the organization must implement policies that limit the PHI disclosed to the amount:",,,"A. Necessary for treatment, payment, or operations.B. Reasonably necessary to achieve the purpose of the disclosure.C. That is required by law.D. Contained in the entire medical record.",,,,,B. Reasonably necessary to achieve the purpose of the disclosure.,,,,,,,,,,,"For routine and recurring disclosures, the covered entity must implement policies that limit PHI disclosed to the amount reasonably necessary to achieve the purpose.",,,,,§ 164.514 (d)(3)(i),Admin and Billing Staff,,Privacy Rule,,,,,,,Minimum necessary: disclosures,,,,,,,,,Policies to limit routine and nonroutine disclosures to the minimum necessary: reliance rules for certain requestors.,,,,,
29,Scenario: Data Record Set (DRS) Components and Penalty Factors: A request is received for PHI contained in the Designated Record Set (DRS). The Privacy Official is auditing the effectiveness of the minimum necessary policy for billing.,,"The organization may not use, disclose, or request an entire medical record unless the entire record is specifically justified as the amount that is:",,,A. Needed for quality review.B. Required for legal services.C. Reasonably necessary to accomplish the purpose.D. Necessary for the public good.,,,,,C. Reasonably necessary to accomplish the purpose.,,,,,,,,,,,"The organization may not use, disclose, or request an entire medical record, except when the entire medical record is specifically justified as reasonably necessary.",,,,,§ 164.514 (d)(5),"Admin and Billing Staff, All Staff, Management",,Privacy Rule,,,,,,,Minimum necessary: entire record,,,,,,,,,"Prohibition on using, disclosing, or requesting entire medical records unless specifically justified as reasonably necessary.",,,,,
30,Scenario: Data Record Set (DRS) Components and Penalty Factors: A request is received for PHI contained in the Designated Record Set (DRS). The Privacy Official is auditing the effectiveness of the minimum necessary policy for billing.,,The financial condition of the organization may be considered by the Secretary (HHS) as a factor in determining a Civil Money Penalty (CMP). Which is an additional factor?,,,A. The size of the workforce.B. The history of prior compliance.C. The length of the notice of privacy practices.D. The percentage of billing done electronically.,,,,,B. The history of prior compliance.,,,,,,,,,,,"Factors considered in determining a CMP amount include nature and extent of the violation, harm, financial condition, and history of prior compliance [1135–1139, 2013–2017].",,,,,§ 160.408 (c),"Admin and Billing Staff, Management",,General Administrative Requirement,,,,,,,Imposition of Civil Money Penalties,,,,,,,,,Factors considered in determining the amount of a civil money penalty.,,,,,
31,"Scenario: Amendment Request and Denial: Ms. Carla requests a written amendment to her billing record, claiming the charge for a lab test was incorrect. She submits the request with supporting documentation to the Billing Department on 1 July.",,The Billing Department must act on Ms. Carla’s request for amendment no later than:,,,A. 15 business days.B. 60 calendar days.C. 30 calendar days.D. 90 calendar days.,,,,,B. 60 calendar days.,,,,,,,,,,,The covered entity must act on the individual’s request for an amendment no later than 60 days after receipt of the request.,,,,,§ 164.526 (b)(2)(i),"Admin and Billing Staff, Clinical",,Privacy Rule,,,,,,,Amendment of PHI,,,,,,,,,"Right to request amendment of PHI, required steps to grant/deny, and duties to inform recipients.",,,,,
32,"Scenario: Amendment Request and Denial: Ms. Carla requests a written amendment to her billing record, claiming the charge for a lab test was incorrect. She submits the request with supporting documentation to the Billing Department on 1 July.",,"If the department grants the amendment, they must make reasonable efforts to inform and provide the amendment to which of the following?",,,A. Only the individual.B. Persons identified by the individual and persons the entity knows may have relied on the info.C. Only other covered entities (excluding business associates).D. Only external auditors.,,,,,B. Persons identified by the individual and persons the entity knows may have relied on the info.,,,,,,,,,,,"The entity must inform and provide the amendment to persons identified by the individual and persons, including BAs, known to have relied on such info.",,,,,§ 164.526 (c)(3),"Admin and Billing Staff, Clinical",,Privacy Rule,,,,,,,Amendment of PHI,,,,,,,,,"Right to request amendment of PHI, required steps to grant/deny, and duties to inform recipients.",,,,,
33,"Scenario: Amendment Request and Denial: Ms. Carla requests a written amendment to her billing record, claiming the charge for a lab test was incorrect. She submits the request with supporting documentation to the Billing Department on 1 July.",,"If the department denies Ms. Carla’s request because the record is determined to be accurate and complete, the denial is permissible under which regulation?",,,A. Denial based on unreviewable grounds.B. Denial because the record is accurate and complete.C. Denial based on the Privacy Act.D. Denial because the request concerns payment.,,,,,B. Denial because the record is accurate and complete.,,,,,,,,,,,An entity may deny an amendment request if it determines that the PHI/record is accurate and complete.,,,,,§ 164.526 (a)(2)(iv),"Admin and Billing Staff, Clinical",,Privacy Rule,,,,,,,Amendment of PHI,,,,,,,,,"Right to request amendment of PHI, required steps to grant/deny, and duties to inform recipients.",,,,,
34,"Scenario: Amendment Request and Denial: Ms. Carla requests a written amendment to her billing record, claiming the charge for a lab test was incorrect. She submits the request with supporting documentation to the Billing Department on 1 July.",,"If the request is denied, the written denial must contain a description of how she may complain to the organization or to which federal office?",,,A. The Department of Justice (DOJ).B. The Secretary (HHS) of the Department of Health and Human Services.C. The FBI.D. The Chief Information Security Officer (CISO).,,,,,B. The Secretary (HHS) of the Department of Health and Human Services.,,,,,,,,,,,The denial must include a description of how the individual may complain to the covered entity or to the Secretary.,,,,,§ 164.526 (d)(1)(iv),"Admin and Billing Staff, Clinical",,Privacy Rule,,,,,,,Amendment of PHI,,,,,,,,,"Right to request amendment of PHI, required steps to grant/deny, and duties to inform recipients.",,,,,
35,"Scenario: Amendment Request and Denial: Ms. Carla requests a written amendment to her billing record, claiming the charge for a lab test was incorrect. She submits the request with supporting documentation to the Billing Department on 1 July.",,"If Ms. Carla disagrees with the denial, she can submit a statement of disagreement. In response, the Billing Department:",,,A. May prepare a written rebuttal and must provide her a copy.B. Must prepare a written rebuttal but may refuse to provide a copy.C. Must grant the amendment regardless of the rebuttal.D. Must terminate her right to request future amendments.,,,,,A. May prepare a written rebuttal and must provide her a copy.,,,,,,,,,,,"The covered entity may prepare a written rebuttal to the individual’s statement of disagreement, and if prepared, must provide a copy to the individual.",,,,,§ 164.526 (d)(3),"Admin and Billing Staff, Clinical",,Privacy Rule,,,,,,,Amendment of PHI,,,,,,,,,"Right to request amendment of PHI, required steps to grant/deny, and duties to inform recipients.",,,,,
36,Scenario: Restriction Request: Mr. Davis pays for a procedure entirely out-of-pocket. He submits a request asking the Billing Department not to disclose any PHI related to this service to his health plan for payment or operations.,,"In this specific scenario (paid in full out-of-pocket), the organization must agree to the restriction request, provided the disclosure is not otherwise:",,,A. Permitted under judicial proceedings.B. Required by law.C. Limited to the Minimum Necessary rule.D. Restricted to a limited data set.,,,,,B. Required by law.,,,,,,,,,,,A covered entity must agree to the request to restrict disclosure to a health plan if the disclosure is for payment/operations and is not otherwise required by law.,,,,,§ 164.522 (a)(1)(vi),"Admin and Billing Staff, Clinical",,Privacy Rule,,,,,,,Right to request restrictions,,,,,,,,,Right to request restrictions on uses/disclosures and mandatory restriction for selfpaid services with health plans.,,,,,
